Id,Lesson,Slug,Description,Excerpt,Status,Module,Prerequisite,Preview,Tags,Image,Length,Complexity,Video,Pass Required,Passmark,Number Of Questions,Random Question Order,Auto-Grade,Quiz Reset,Allow Comments,Questions
95,Finding Area of Rectangular Shapes Using Unit Squares,,Exploring how to find the area of rectangular shapes using unit squares in Grade 3 enhances area calculation skills. Students will utilize unit squares to calculate the area of rectangles,Explore how to find the area of rectangular shapes using unit squares,publish,Area,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/yUAcdMb0eoA"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,
96,Measuring Areas by Counting Unit Squares,,Learning to measure areas by counting unit squares in Grade 3 reinforces the understanding of area measurement. Students will count unit squares to determine the area of different figures,Learn to measure areas by counting unit squares,publish,Area,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/9kdIFbiOj2I"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,
97,Finding the Area of a Rectangle Using the Area Formula,,Understanding how to find the area of a rectangle using the area formula in Grade 3 enhances skills in area calculations. Students will learn to calculate the area of rectangles using the formula,Understand how to find the area of a rectangle using the area formula,publish,Area,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/fsF-Pex_kKQ"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,
98,Finding the Unknown Sides' Lengths,,Learning to find unknown side lengths of plane figures in Grade 3 reinforces skills in geometry and measurement. Students will explore how to determine unknown side lengths of different plane figures,Learn to find unknown side lengths of plane figures,publish,Finding Sides' Lengths of Plane Figures,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/v85BIKIBsLs"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,
99,Using Perimeter to Find the Sides' Lengths,,Exploring how to use perimeter to find the lengths of sides in plane figures in Grade 3 enhances understanding of geometric properties. Students will utilize the perimeter to determine the lengths of sides in different plane figures,Explore how to use perimeter to find the lengths of sides in plane figures,publish,Finding Sides' Lengths of Plane Figures,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/v1sUeody7ik"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,
100,Finding Areas of Rectangles by Multiplying Side lengths in Word Problems,,Learning to find areas of rectangles by multiplying side lengths in word problems in Grade 3 reinforces the application of area concepts. Students will apply their understanding of area to solve word problems involving rectangles,Learn to find areas of rectangles by multiplying side lengths in word problems,publish,Area and Perimeter in Word Problems,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/TRXMV7y1rPk"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,
101,Finding Areas of Figures by Decomposing them into Rectangles in Word Problems,,Exploring how to find areas of complex figures by decomposing them into rectangles in word problems in Grade 3 enhances problem-solving skills. Students will learn to break down complex figures into simpler rectangles to calculate their areas,Explore how to find areas of complex figures by decomposing them into rectangles in word problems,publish,Area and Perimeter in Word Problems,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/sy5_sZkKxvk"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,
102,The Perimeter in Real-World Problems,,Learning to calculate perimeter in real-world problems in Grade 3 reinforces the understanding of perimeter concepts. Students will apply their knowledge of perimeter to solve practical problems,Learn to calculate perimeter in real-world problems,publish,Area and Perimeter in Word Problems,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/-j04wR5hAtk"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,
103,The Perimeter of Plane Figures,,Understanding how to calculate the perimeter of plane figures in Grade 3 enhances skills in measurement and geometry. Students will learn to calculate the perimeter of different plane figures,Understand how to calculate the perimeter of plane figures,publish,Perimeter,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/RILMSVYQuHc"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,
104,Measuring the Perimeter of Plane Figures Using a Grid,,Learning to measure the perimeter of plane figures using a grid in Grade 3 reinforces the understanding of perimeter measurement. Students will utilize grids to measure the perimeter of plane figures,Learn to measure the perimeter of plane figures using a grid,publish,Perimeter,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/-GQr-2MvHDU"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,
105,Geometric Properties to Find the Perimeter of Plane Figures,,Exploring geometric properties to find the perimeter of plane figures in Grade 3 enhances understanding of perimeter concepts. Students will utilize geometric properties such as parallel sides and equal angles to calculate the perimeter of different plane figures,Explore geometric properties to find the perimeter of plane figures,publish,Perimeter,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/rxxv8QHdONY"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,
